Year,Month,Count of Routes,Count of Weekdays,Count of Days Off
2019,January,16417,,
2019,February,16402,,
2019,March,16422,,
2019,April,16429,,
2019,May,16430,,
2019,June,16437,,
2019,July,7771,,
2019,August,7773,,
2019,September,16657,,
2019,October,16852,,
2019,November,16909,,
2019,December,16951,,
2020,January,17020,,
2020,February,17051,,
2020,March,17062,,
2020,September,16344,,
2020,October,16468,,
2020,November,16468,,
2020,December,16529,,
2021,January,16590,,
2021,February,16619,,
2021,March,16613,,
2021,April,16627,,
2021,May,16608,,
2021,June,16603,,
2021,July,7389,,
2021,August,7389,,
2021,September,16123,,
2021,October,16253,,
2021,November,16309,,
2021,December,16330,,
2022,January,16324,,
2022,February,16310,,
2022,March,16300,,
2022,April,16290,,
2022,May,16277,,
2022,June,16272,,
2022,July,,,
2022,August,,,
2022,September,,,
2022,October,,,
2022,November,,,
2022,December,,,
2023,January,15656,,
2023,February,15645,,
2023,March,15644,,
2023,April,15687,,
2023,May,15690,,
2023,June,15686,,